des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 HG,1,2460415.324738124,2024-Apr-14 19:48,0.00270055718807216,0.00269534598837893,0.00270576825878091,17.3229357588736,17.2658860799411,< 00:01,27.28
2024 GB6,4,2460415.353416183,2024-Apr-14 20:29,0.0120070884127832,0.0119857871237686,0.0120283884206813,5.15724072364913,5.11403110623916,< 00:01,27.28
2024 GW,2,2460415.507670039,2024-Apr-15 00:11,0.0285555077230744,0.0283123499185285,0.0287986567216798,8.68022262781842,8.66946638069418,00:08,25.68
2024 HE,1,2460415.635435586,2024-Apr-15 03:15,0.00558237803707822,0.00557093787179484,0.00559381801737493,15.357536199815,15.3264253639939,< 00:01,27.24
2024 GL2,1,2460415.708817996,2024-Apr-15 05:01,0.0279852904728453,0.0277190820513739,0.0282514854978624,8.63276170580071,8.62172573683083,< 00:01,27.27
2024 GO1,5,2460415.747687497,2024-Apr-15 05:57,0.021657712737433,0.0215523355001942,0.0217630868938209,9.06435150982643,9.05076873370954,< 00:01,27.23
517681,133,2460416.089190097,2024-Apr-15 14:08,0.0469881567122832,0.0469881195808393,0.0469881938437645,14.1809631573578,14.1769638989832,< 00:01,18.86
439437,87,2460416.118416176,2024-Apr-15 14:51,0.0217693674155677,0.021769361688783,0.0217693731423524,16.4897131956214,16.4822889689411,< 00:01,18.94
2024 GZ5,3,2460416.199314427,2024-Apr-15 16:47,0.000458619133144734,0.000458460212821757,0.000458778035730116,5.03753332558076,3.70906573344427,< 00:01,30.30
2024 FJ4,7,2460416.228945969,2024-Apr-15 17:30,0.0364583661519207,0.0363014197716372,0.0366153103438426,9.51099120538396,9.50330406315473,< 00:01,25.28
2024 GK6,2,2460417.051537619,2024-Apr-16 13:14,0.0204557643264183,0.0203930806125264,0.0205184465665246,8.25197038012563,8.23617045777593,< 00:01,26.79
2024 GN2,5,2460417.096661085,2024-Apr-16 14:19,0.00312231129497921,0.00310957991013814,0.00313504217143823,18.51009488999,18.4639345105427,< 00:01,26.30
2024 HA,1,2460417.237653496,2024-Apr-16 17:42,0.000103979587200082,0.000103943506957676,0.000104015669172709,19.4617759141819,18.0972560146805,< 00:01,31.77
2024 GF3,4,2460417.276699183,2024-Apr-16 18:38,0.0355359622130935,0.0352865917340447,0.0357853295301599,12.8963845330522,12.8905692048268,< 00:01,25.72
2024 GS5,3,2460417.403577072,2024-Apr-16 21:41,0.00464489543058746,0.00461871487557647,0.00467107498688336,18.3155670336176,18.2842206210337,< 00:01,26.01
2024 GM1,12,2460417.577611979,2024-Apr-17 01:52,0.00885345658351951,0.00885339646093635,0.00885351670609814,10.3706041133734,10.3415435280492,< 00:01,25.62
2024 JJ,1,2460417.800004069,2024-Apr-17 07:12,0.0251042302738775,0.0240257411963583,0.0261826314588685,15.3836772804374,15.3767764285597,03:19,25.61
2024 HW5,1,2460417.818489246,2024-Apr-17 07:39,0.0325091594278556,0.0321901489739073,0.0328281802126387,35.1278843283185,35.1255510365644,00:25,23.39
2024 JC2,4,2460417.828331175,2024-Apr-17 07:53,0.0149212354708336,0.0148346850753514,0.0150077724022401,4.90250412876005,4.86594363857903,00:07,26.46
2024 HO,3,2460418.048606842,2024-Apr-17 13:10,0.00115801549584489,0.00115684543584928,0.00115918546048446,10.1736758782447,9.94494234840182,< 00:01,28.80
2024 HZ,4,2460418.091208074,2024-Apr-17 14:11,0.00312050425360617,0.00311346832588787,0.00312753919009077,7.16888275770993,7.04876985153592,< 00:01,28.67
